Filename,Contrast,Homogeneity,Entropy
lebat (70).jpg,75.05176164215634,0.2541371976982165,11.329551314020286
lebat (71).jpg,88.97486213235254,0.23319213400674213,11.268433576082053
lebat (72).jpg,104.20300245098038,0.2144431265732638,11.177102445894022
lebat (73).jpg,113.15848651960758,0.21311372417951774,11.429121163016676
lebat (74).jpg,138.43330269607878,0.20430968974235975,11.51593488493973
lebat (75).jpg,141.3183057598041,0.20482981454376917,11.436349681053798
lebat (76).jpg,112.63043811274491,0.19970798043821997,10.553542220765033
lebat (77).jpg,105.76685049019514,0.20991994563744917,11.44961517087946
lebat (78).jpg,149.50750612745082,0.1941595264667241,12.260494334498409
lebat (79).jpg,137.1676317401961,0.19567973566334246,11.539250622490053
lebat (8).jpg,68.0102328431371,0.2466408007471428,10.777330804120957
lebat (80).jpg,101.45831801470587,0.217193155906421,11.36525206934469
lebat (81).jpg,104.82778799019587,0.21420000355366142,11.257557642112044
lebat (82).jpg,40.400122549019954,0.28458303076344804,10.159553792016666
lebat (83).jpg,74.08275122548908,0.24987581402156459,10.702342809095033
lebat (84).jpg,57.566467524510344,0.266278925056391,10.335687304567912
lebat (85).jpg,69.63408394607796,0.25074249411472643,10.577801984039251
lebat (86).jpg,40.67391237745128,0.28628331533670964,9.963105018357458
lebat (87).jpg,181.4263327205886,0.1815230991375628,11.638971628065473
lebat (88).jpg,119.65448835784255,0.20669217162953096,11.25142563685153
lebat (89).jpg,111.19462316176384,0.21086829799194876,11.242984895795752
lebat (9).jpg,91.55785845588188,0.2347660137723108,11.128057587219336
lebat (90).jpg,117.03841911764644,0.2050447279708776,11.34018242169299
lebat (91).jpg,180.05070465686296,0.17386555402466228,11.719692903427777
lebat (92).jpg,195.93579963235365,0.17010212047936984,11.721915361693512
lebat (93).jpg,212.40926776960836,0.16106478870029564,11.773376750426182
lebat (94).jpg,230.41948529411695,0.1575990004863336,11.887861518196308
lebat (95).jpg,88.5413909313717,0.22043184273216923,11.172199979239604
lebat (96).jpg,121.25966605392124,0.20340390403586212,11.196143413403911
lebat (97).jpg,172.73604473039245,0.18246763325823068,11.523479261988559
lebat (98).jpg,121.33102022058804,0.2052016523370782,11.188599720403428
lebat (99).jpg,168.37754289215675,0.1880548040014526,11.622706672878122
gundul (98).jpg,5875.842509191179,0.7993691202466268,2.3408709670739345
lebat (1).jpg,12569.480009191178,0.5498283373490519,4.263112562514403
lebat (10).jpg,8543.928247549013,0.6419411280855345,3.6241767070137194
lebat (11).jpg,12261.768581495095,0.55635639422753,4.230153338460801
lebat (13).jpg,16640.219316789215,0.5085018846782663,4.48000403892305
lebat (137).jpg,16868.262699142153,0.5095300073427828,4.425103951558702
lebat (138).jpg,18513.535723039226,0.4967183044318021,4.4702104737951736
lebat (139).jpg,17552.433363970595,0.5000968425921227,4.47423191076464
lebat (14).jpg,12712.932077205875,0.6099890812312562,3.8285241442385693
lebat (143).jpg,16120.26662071078,0.504000248826298,4.541992734012747
lebat (15).jpg,14813.717830882353,0.5439745541541865,4.263463761837451
lebat (16).jpg,13326.797319240193,0.5671147047584839,4.125495749441067
lebat (17).jpg,9676.440303308817,0.6543942533885465,3.5424064607292967
lebat (188).jpg,16207.935554534304,0.4911698254843804,4.627688061304367
lebat (189).jpg,16322.295511642153,0.5181189783528168,4.465186395082918
lebat (2).jpg,12835.472380514702,0.5860753042822537,4.027647777202825
